实验时间,环境基准光强,开始瞬间光强,反应中平均光强,反应中最低光强,结束瞬间光强,结束+0.5s光强,结束+1.0s光强,反应耗时(秒)
2026-04-22 13:57:33,850,644,558,98,129,98,99,11.5
2026-04-22 13:58:58,850,648,554,98,130,102,100,11.5
2026-04-22 14:00:02,850,645,554,98,122,102,98,11.5
2026-04-22 14:00:30,850,650,553,98,125,98,102,11.5
2026-04-22 14:26:17,987,703,210,54,59,67,67,10.1
